Cty,State,Fips5,StateFips
Autauga,AL,01001,01
Baldwin,AL,01003,01
Barbour,AL,01005,01
Bibb,AL,01007,01
Blount,AL,01009,01
Bullock,AL,01011,01
Butler,AL,01013,01
Calhoun,AL,01015,01
Chambers,AL,01017,01
Cherokee,AL,01019,01
Chilton,AL,01021,01
Choctaw,AL,01023,01
Clarke,AL,01025,01
Clay,AL,01027,01
Cleburne,AL,01029,01
Coffee,AL,01031,01
Colbert,AL,01033,01
Conecuh,AL,01035,01
Coosa,AL,01037,01
Covington,AL,01039,01
Crenshaw,AL,01041,01
Cullman,AL,01043,01
Dale,AL,01045,01
Dallas,AL,01047,01
De Kalb,AL,01049,01
Elmore,AL,01051,01
Escambia,AL,01053,01
Etowah,AL,01055,01
Fayette,AL,01057,01
Franklin,AL,01059,01
Geneva,AL,01061,01
Greene,AL,01063,01
Hale,AL,01065,01
Henry,AL,01067,01
Houston,AL,01069,01
Jackson,AL,01071,01
Jefferson,AL,01073,01
Lamar,AL,01075,01
Lauderdale,AL,01077,01
Lawrence,AL,01079,01
Lee,AL,01081,01
Limestone,AL,01083,01
Lowndes,AL,01085,01
Macon,AL,01087,01
Madison,AL,01089,01
Marengo,AL,01091,01
Marion,AL,01093,01
Marshall,AL,01095,01
Mobile,AL,01097,01
Monroe,AL,01099,01
Montgomery,AL,01101,01
Morgan,AL,01103,01
Perry,AL,01105,01
Pickens,AL,01107,01
Pike,AL,01109,01
Randolph,AL,01111,01
Russell,AL,01113,01
Saint Clair,AL,01115,01
Shelby,AL,01117,01
Sumter,AL,01119,01
Talladega,AL,01121,01
Tallapoosa,AL,01123,01
Tuscaloosa,AL,01125,01
Walker,AL,01127,01
Washington,AL,01129,01
Wilcox,AL,01131,01
Winston,AL,01133,01
Aleutians East,AK,02013,02
Aleutians West,AK,02016,02
Anchorage,AK,02020,02
Bethel,AK,02050,02
Bristol Bay,AK,02060,02
Denali,AK,02068,02
Dillingham,AK,02070,02
Fairbanks North Star,AK,02090,02
Haines,AK,02100,02
Juneau,AK,02110,02
Kenai Peninsula,AK,02122,02
Ketchikan Gateway,AK,02130,02
Kodiak Island,AK,02150,02
Lake and Peninsula,AK,02164,02
Matanuska-Susitna,AK,02170,02
Nome,AK,02180,02
North Slope,AK,02185,02
Northwest Arctic,AK,02188,02
Prince of Wales-Outer Ketchikan,AK,02201,02
Sitka,AK,02220,02
Skagway-Hoonah-Angoon,AK,02232,02
Southeast Fairbanks,AK,02240,02
Valdez-Cordova,AK,02261,02
Wade Hampton,AK,02270,02
Wrangell-Petersburg,AK,02280,02
Yakutat,AK,02282,02
Yukon-Koyukuk,AK,02290,02
Apache,AZ,04001,04
Cochise,AZ,04003,04
Coconino,AZ,04005,04
Gila,AZ,04007,04
Graham,AZ,04009,04
Greenlee,AZ,04011,04
La Paz,AZ,04012,04
Maricopa,AZ,04013,04
Mohave,AZ,04015,04
Navajo,AZ,04017,04
Pima,AZ,04019,04
Pinal,AZ,04021,04
Santa Cruz,AZ,04023,04
Yavapai,AZ,04025,04
Yuma,AZ,04027,04
Arkansas,AR,05001,05
Ashley,AR,05003,05
Baxter,AR,05005,05
Benton,AR,05007,05
Boone,AR,05009,05
Bradley,AR,05011,05
Calhoun,AR,05013,05
Carroll,AR,05015,05
Chicot,AR,05017,05
Clark,AR,05019,05
Clay,AR,05021,05
Cleburne,AR,05023,05
Cleveland,AR,05025,05
Columbia,AR,05027,05
Conway,AR,05029,05
Craighead,AR,05031,05
Crawford,AR,05033,05
Crittenden,AR,05035,05
Cross,AR,05037,05
Dallas,AR,05039,05
Desha,AR,05041,05
Drew,AR,05043,05
Faulkner,AR,05045,05
Franklin,AR,05047,05
Fulton,AR,05049,05
Garland,AR,05051,05
